page,product_name,matrix,processor,core,ram,ssd,card
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=3,"14"" Ультрабук Honor MagicBook 14 Nbl-WAQ9HNR серый",IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Radeon Vega 8 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=3,"15.6"" Ультрабук HP Pavilion 15-cw1037ur серебристый",IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Radeon Vega 8 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=3,"15.6"" Ультрабук Huawei MateBook D 15 Boh-WAQ9R серый",IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Radeon Vega 8 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=3,"13.3"" Ультрабук Acer Swift 3 SF313-51-53MA серебристый",IPS,Intel Core i5 8250U,4 х 1.6 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD Graphics 620 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=3,"13.3"" Ультрабук HP ENVY x360 13-ag0007ur серебристый",IPS,AMD Ryzen 3 2300U,4 х 2 ГГц,RAM 8 ГБ,SSD 512 ГБ,Radeon Vega 6 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=3,"14"" Ультрабук Acer Swift 3 SF314-41-R7GB серебристый",IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 512 ГБ,Radeon Vega 8 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=3,"15.6"" Ультрабук HP Pavilion 15-cs3014ur синий",IPS,Intel Core i3 1005G1,2 х 1.2 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=3,"14"" Ультрабук Acer Swift 3 SF314-58-37KE серебристый",IPS,Intel Core i3 10110U,2 х 2.1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD Graphics 620 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=3,"14"" Ультрабук MSI Modern 14 A10M-815RU серый",IPS,Intel Core i3 10110U,2 х 2.1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=3,"13.3"" Ультрабук HP Pavilion 13-an1016ur серебристый",SVA (TN+film),Intel Core i5 1035G1,4 х 1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=3,"14"" Ультрабук Huawei MateBook D 14 Nbl-WAQ9R серый",IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 512 ГБ,Radeon Vega 8 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=3,"14"" Ультрабук Lenovo IdeaPad C340-14IWL черный",IPS,Intel Core i3 8145U,2 х 2.1 ГГц,RAM 4 ГБ,SSD 512 ГБ,Intel UHD Graphics 620 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=3,"15.6"" Ультрабук HP Pavilion 15-cw1034ur синий",IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 512 ГБ,Radeon Vega 8 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=3,"14"" Ультрабук HP 14s-dq1009ur серебристый",IPS,Intel Core i5 1035G1,4 х 1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=3,"13.3"" Ультрабук HP Pavilion 13-an1015ur серебристый",SVA (TN+film),Intel Core i5 1035G1,4 х 1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=3,"13.3"" Ультрабук DELL XPS 13 9350-1271 серый",IPS,Intel Core i5 6200U,2 х 2.3 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel HD 520 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=3,"13.3"" Ультрабук DELL XPS 13 9365-0932 серебристый",IPS,Intel Core i5 7Y54,2 х 1.2 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel HD 615 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=4,"13.3"" Ультрабук Lenovo IdeaPad S530-13IWL черный",IPS,Intel Core i5 8265U,4 х 1.6 ГГц,RAM 8 ГБ,SSD 512 ГБ,Intel UHD Graphics 620 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=4,"14"" Ультрабук ASUS ZenBook UX430UA-GV407T синий",IPS,Intel Core i5 8250U,4 х 1.6 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD Graphics 620 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=4,"14"" Ультрабук HP Pavilion 14-ce3026ur серебристый",IPS,Intel Core i5 1035G1,4 х 1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=4,"14"" Ультрабук HP Pavilion 14-ce3027ur серебристый",IPS,Intel Core i5 1035G1,4 х 1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=4,"14"" Ультрабук Honor MagicBook Nbl-WAQ9HNR серый",IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 512 ГБ,Radeon Vega 8 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=4,"15.6"" Ультрабук HP 15s-fq1016ur серебристый",IPS,Intel Core i5 1035G1,4 х 1 ГГц,RAM 8 ГБ,SSD 512 ГБ,Intel UHD 
